EmployeeNumber,Gender,City,JobTitle,DepartmentName,StoreLocation,Division,Age,LengthService,BusinessUnit,AbsentHours
1,70,66,66,66,66,83,32.02881569,6.018478474,83,36.57730606
2,77,67,66,66,78,83,40.32090167,5.532444578,83,30.16507231
3,77,82,66,66,82,83,48.82204661,4.389973118,83,83.80779766
4,70,86,66,66,86,83,44.59935722,3.081735738,83,70.02016505
5,77,78,66,66,78,83,35.69787561,3.619091448,83,0
6,77,82,66,66,82,83,48.44031059,2.717692452,83,81.83007916
7,77,86,65,65,86,70,50.75273,10.157918,72,60.49507152
8,77,83,66,66,87,83,36.2160312,4.432122862,83,30.07290192
9,77,78,66,66,78,83,58.42738025,6.940120524,83,181.630819
10,77,86,65,65,86,70,39.85398,13.848321,72,30.66440832
11,77,78,66,66,78,83,46.54758052,4.872038321,83,28.01835332
12,77,75,66,66,75,83,15,3.793042148,83,0
13,77,78,66,66,78,83,37.72801116,3.621141838,83,0
14,70,86,66,66,78,83,30.78519091,4.583328091,83,34.33444296
15,77,86,65,65,86,70,49.92338,4.883225,72,0
16,77,86,65,65,86,70,42.79789,19.107198,72,21.65982312
17,70,86,65,65,86,70,48.6213,9.940272,72,0
18,70,87,66,66,87,83,41.85581217,2.559053659,83,55.09983109
19,70,78,66,66,78,83,51.00873723,5.30277286,83,81.59554037
20,70,86,65,65,86,70,36.91041,11.22628,72,94.66856131
21,77,66,66,66,66,83,57.90324297,3.300303735,83,108.3801763
22,70,78,66,66,78,83,24.47030259,3.147510228,83,0
23,70,86,65,65,86,70,49.51672,6.5335,72,67.74078948
24,70,86,66,66,86,83,60.5955091,4.465036581,83,158.7045089
25,77,78,66,66,78,83,35.80466401,4.626920266,83,0
26,70,65,66,66,65,83,35.87338778,3.101925634,83,48.0170507
27,77,75,66,66,75,83,41.93560641,4.557230329,83,42.78802656
28,77,84,66,66,84,83,35.49790596,5.174673648,83,34.52427221
29,77,86,65,65,86,70,40.02887,12.185467,72,59.88316464
30,77,65,66,66,65,83,49.75658466,4.313617694,83,100.6740987
31,77,80,66,66,75,83,38.11173232,3.493533521,83,9.522523814
32,70,86,65,65,86,70,42.8715,19.006436,72,38.88332344
33,77,68,66,66,81,83,49.94274462,5.775266268,83,129.8357633
34,77,75,66,66,75,83,77,3.203849714,83,44.2731088
35,70,67,66,66,67,83,23.74733283,2.992041355,83,0
36,77,86,65,65,86,70,36.196064,18.196064,72,0
37,70,67,66,66,78,83,51.56495808,4.641869886,83,75.25704812
38,70,80,66,66,78,83,40.41201341,6.192268184,83,58.97153025
39,77,75,66,66,75,83,52.44651862,4.29126449,83,134.6683839
40,77,76,66,66,75,83,20.02556154,4.483391669,83,0
41,70,65,66,66,65,83,44.60660014,4.862142071,83,78.34173929
42,77,68,66,66,68,83,67.08801208,2.183958352,83,168.9957664
43,70,66,66,66,66,83,41.25328235,2.018782807,83,56.21994065
44,77,83,66,66,83,83,62.05182058,5.473604647,83,152.6467667
45,70,86,66,66,86,83,28.07544199,5.776657666,83,0
46,70,83,66,66,83,83,49.90577748,5.357402979,83,80.24254043
47,77,86,65,65,86,70,50.07982,1,72,78.7532824
48,77,83,66,66,83,83,33.80945018,5.654808747,83,0
49,70,71,66,66,84,83,51.60595642,3.9855896,83,88.91127783
50,77,86,65,65,86,70,38.678832,20.678832,72,21.38553248
51,77,66,66,66,66,83,30.29765034,7.560140987,83,3.737100223
52,77,80,66,66,75,83,43.68608721,0.385746182,83,38.06658377
53,77,78,66,66,78,83,50.04741662,5.702536846,83,116.2269635
54,70,78,66,66,78,83,34.68894529,4.721105791,83,0
55,77,65,66,66,65,83,29.32983419,3.28103742,83,0
56,70,83,66,66,86,83,50.01054543,3.653801673,83,77.13030678
57,77,67,66,66,78,83,24.50853,4.796216863,83,0
58,77,67,66,66,67,83,42.62840469,4.124606978,83,24.79287091
59,77,79,66,66,75,83,54.04930086,4.060790515,83,121.4480075
60,77,78,66,66,78,83,43.91047001,4.197598793,83,59.7836809
61,77,71,66,66,86,83,42.59140213,5.101161761,83,55.62426288
62,70,86,65,65,86,70,55.76305,10.623616,72,0
63,70,80,66,66,80,83,31.16665889,0.775517909,83,0
64,77,65,66,66,84,83,43.26243975,5.843569409,83,55.05895104
65,70,75,66,66,75,83,35.61924833,3.679095448,83,44.6346054
66,77,87,66,66,83,83,39.26200269,5.748053523,83,42.45739254
67,70,83,66,66,83,83,22.5364126,5.897640636,83,0
68,70,86,65,65,86,70,39.73937,11.885504,72,0
69,70,83,66,66,75,83,46.94959435,2.024655355,83,107.7955005
70,77,86,65,65,86,70,44.10973,12.305714,72,78.84098352
71,77,78,66,66,78,83,52.78875734,4.589520028,83,110.1543068
72,70,71,66,66,87,83,35.63044266,3.947661015,83,33.93440994
73,77,86,66,66,86,83,42.4342557,3.387128544,83,28.60483097
74,70,66,66,66,66,83,40.96753752,3.285283682,83,44.9874293
75,70,70,66,66,84,83,46.77086356,1.991692074,83,126.5011301
