Benefit per order,Sales per customer,Customer Id,Order Customer Id,Order Id,Order Item Cardprod Id,Order Item Discount,Order Item Product Price,Order Item Profit Ratio,Order Item Quantity,Sales,Order Item Total,Order Profit Per Order,Product Card Id,Product Category Id,Product Price
91.25,314.6400146,20755,20755,77202,1360,13.10999966,327.75,0.289999992,1,327.75,314.6400146,91.25,1360,73,327.75
-249.0899963,311.3599854,19492,19492,75939,1360,16.38999939,327.75,-0.800000012,1,327.75,311.3599854,-249.0899963,1360,73,327.75
-247.7799988,309.7200012,19491,19491,75938,1360,18.03000069,327.75,-0.800000012,1,327.75,309.7200012,-247.7799988,1360,73,327.75
22.86000061,304.8099976,19490,19490,75937,1360,22.94000053,327.75,0.079999998,1,327.75,304.8099976,22.86000061,1360,73,327.75
134.2100067,298.25,19489,19489,75936,1360,29.5,327.75,0.449999988,1,327.75,298.25,134.2100067,1360,73,327.75
18.57999992,294.980011,19488,19488,75935,1360,32.77999878,327.75,0.059999999,1,327.75,294.980011,18.57999992,1360,73,327.75
95.18000031,288.4200134,19487,19487,75934,1360,39.33000183,327.75,0.330000013,1,327.75,288.4200134,95.18000031,1360,73,327.75
68.43000031,285.1400146,19486,19486,75933,1360,42.61000061,327.75,0.239999995,1,327.75,285.1400146,68.43000031,1360,73,327.75
133.7200012,278.5899963,19485,19485,75932,1360,49.15999985,327.75,0.479999989,1,327.75,278.5899963,133.7200012,1360,73,327.75
132.1499939,275.3099976,19484,19484,75931,1360,52.43999863,327.75,0.479999989,1,327.75,275.3099976,132.1499939,1360,73,327.75
130.5800018,272.0299988,19483,19483,75930,1360,55.72000122,327.75,0.479999989,1,327.75,272.0299988,130.5800018,1360,73,327.75
45.68999863,268.7600098,19482,19482,75929,1360,59,327.75,0.170000002,1,327.75,268.7600098,45.68999863,1360,73,327.75
21.76000023,262.2000122,19481,19481,75928,1360,65.55000305,327.75,0.079999998,1,327.75,262.2000122,21.76000023,1360,73,327.75
24.57999992,245.8099976,19480,19480,75927,1360,81.94000244,327.75,0.100000001,1,327.75,245.8099976,24.57999992,1360,73,327.75
16.38999939,327.75,19479,19479,75926,1360,0,327.75,0.050000001,1,327.75,327.75,16.38999939,1360,73,327.75
-259.5799866,324.4700012,19478,19478,75925,1360,3.279999971,327.75,-0.800000012,1,327.75,324.4700012,-259.5799866,1360,73,327.75
-246.3600006,321.2000122,19477,19477,75924,1360,6.559999943,327.75,-0.769999981,1,327.75,321.2000122,-246.3600006,1360,73,327.75
23.84000015,317.9200134,19476,19476,75923,1360,9.829999924,327.75,0.079999998,1,327.75,317.9200134,23.84000015,1360,73,327.75
102.2600021,314.6400146,19475,19475,75922,1360,13.10999966,327.75,0.330000013,1,327.75,314.6400146,102.2600021,1360,73,327.75
87.18000031,311.3599854,19474,19474,75921,1360,16.38999939,327.75,0.280000001,1,327.75,311.3599854,87.18000031,1360,73,327.75
