Benefit per order,Sales per customer,Customer Id,Order Customer Id,Order Id,Order Item Cardprod Id,Order Item Discount,Order Item Product Price,Order Item Profit Ratio,Order Item Quantity,Sales,Order Item Total,Order Profit Per Order,Product Card Id,Product Category Id,Product Price,Delivery Status
21.90999985,248.9600067,4727,4727,14544,365,50.99000168,59.99000168,0.090000004,5,299.9500122,248.9600067,21.90999985,365,17,59.99000168,Late delivery
44.81000137,248.9600067,10647,10647,13991,365,50.99000168,59.99000168,0.180000007,5,299.9500122,248.9600067,44.81000137,365,17,59.99000168,Advance shipping
10.78999996,41.47999954,7141,7141,906,886,8.5,24.98999977,0.25999999,2,49.97999954,41.47999954,10.78999996,886,40,24.98999977,Advance shipping
7.079999924,26.21999931,6172,6172,5479,926,5.760000229,15.98999977,0.270000011,2,31.97999954,26.21999931,7.079999924,926,41,15.98999977,Late delivery
16.02000046,51.18000031,2741,2741,51396,828,12.80000019,31.98999977,0.310000002,2,63.97999954,51.18000031,16.02000046,828,37,31.98999977,Advance shipping
89.29000092,189.9799957,1180,1180,10116,191,10,99.98999786,0.469999999,2,199.9799957,189.9799957,89.29000092,191,9,99.98999786,Shipping canceled
-74.38999939,185.9799957,6875,6875,1756,191,14,99.98999786,-0.400000006,2,199.9799957,185.9799957,-74.38999939,191,9,99.98999786,Shipping canceled
-107.8700027,173.9799957,10864,10864,10014,191,26,99.98999786,-0.620000005,2,199.9799957,173.9799957,-107.8700027,191,9,99.98999786,Shipping canceled
65.51000214,167.9799957,242,242,1991,191,32,99.98999786,0.389999986,2,199.9799957,167.9799957,65.51000214,191,9,99.98999786,Shipping canceled
47.50999832,105.5800018,9002,9002,52533,365,14.39999962,59.99000168,0.449999988,2,119.9800034,105.5800018,47.50999832,365,17,59.99000168,Shipping canceled
52.18999863,104.3799973,9002,9002,52533,365,15.60000038,59.99000168,0.5,2,119.9800034,104.3799973,52.18999863,365,17,59.99000168,Shipping canceled
32.66999817,104.3799973,9145,9145,2332,365,15.60000038,59.99000168,0.310000002,2,119.9800034,104.3799973,32.66999817,365,17,59.99000168,Shipping canceled
34.65000153,99,7887,7887,10276,502,1,50,0.349999994,2,100,99,34.65000153,502,24,50,Shipping canceled
25.47999954,98,2817,2817,2911,502,2,50,0.25999999,2,100,98,25.47999954,502,24,50,Shipping canceled
-12.38000011,75.98000336,2013,2013,53568,627,4,39.99000168,-0.159999996,2,79.98000336,75.98000336,-12.38000011,627,29,39.99000168,Shipping canceled
22.39999962,80,2013,2013,53568,502,20,50,0.280000001,2,100,80,22.39999962,502,24,50,Shipping canceled
37.54999924,119.9800034,5920,5920,25688,365,0,59.99000168,0.310000002,2,119.9800034,119.9800034,37.54999924,365,17,59.99000168,Shipping canceled
36.25999832,111.5800018,5674,5674,48954,365,8.399999619,59.99000168,0.330000013,2,119.9800034,111.5800018,36.25999832,365,17,59.99000168,Shipping canceled
